task,language,origin_query,category_path,label
QC,ko,honda adv350 가드,"motorcycle equipments & parts,motorcycle parts,engine cooling,radiator guards",1
QC,de,Apex,"toys & hobbies,outdoor fun & sports,toy guns",1
QC,it,gilet da moto,"motorcycle equipments & parts,motorcycle equipments,motorcycle merchandise,shirts & tops",0
QC,it,raccordo per tubo dell'aria,"home improvement,hardware,pneumatic parts",1
QC,fr,peluche poussacha,"toys & hobbies,stuffed animals & plush,electronic plush toys",1
QC,ko,그래픽카드 rtx4060ti,"computer & office,computer components,graphics cards",1
QC,ar,زارا تراف,"women's clothing,tops & tees,t-shirts",1
QC,pl,biżuteria dziecięca dla dziewczynek,"jewelry & accessories,fine jewelry,necklaces",0
QC,ko,가챠,"men's clothing,hoodies & sweatshirts",0
QC,pl,ręczniki waflowe,"home & garden,home textile,towel/bathrobe,towel/towel set",1
QC,en,nike stickers,"home & garden,arts,crafts & sewing,scrapbooking & stamping,stickers",1
QC,pt,toy story collection,"toys & hobbies,stuffed animals & plush,plush keychains",1
QC,de,Spidy,"home & garden,home textile,blanket",1
QC,ar,مطرقة هزازة,"beauty & health,massage & relaxation,massage shawl",0
QC,ko,자동차 워셔,"automobiles, parts & accessories,car wash & maintenance,water gun & snow foam lance",1
QC,ko,코히바,"men's clothing,hoodies & sweatshirts",0
QC,de,Bodycon Outfits für Damen,"women's clothing,matching sets,pant sets",1
QC,ar,كاست كينج ليجند 3,"sports & entertainment,fishing,fishing reels",1
QC,pt,silvercrest,"beauty & health,hair care & styling,hair styling appliances,hair curler",1
QC,ko,드라잉 타월,"automobiles, parts & accessories,car wash & maintenance,sponges, cloths & brushes",1
QC,pl,Monster High,"mother & kids,children's clothing,pants,kids pants & capris",1
QC,de,Herren Schiebermützen,"apparel accessories,hats & caps,octagonal hats",1
QC,pl,złote kolczyki,"jewelry & accessories,customized jewelry,customized earrings",1
QC,de,Laptop,"office & school supplies,notebooks & writing pads,notebook",1
QC,fr,oiseau de noël  vert,"home & garden,arts,crafts & sewing,scrapbooking & stamping,embellishments",1
QC,de,Mädchen Geldbörse,"luggage & bags,wallets & holders,engraving wallets",1
QC,fr,stitch maquillage,"beauty & health,makeup,false eyelashes & tools,false eyelashes",1
QC,es,bolso para cinturón,"sports & entertainment,hunting,hunting holsters & pouches,waist bags",1
QC,it,LOL Surprise,"toys & hobbies,dolls & accessories,doll playsets",1
QC,ja,galaxy tab s8 plus ケース,"computer & office,tablet accessories & parts,tablets & e-books case",1
QC,pt,batman luz,"automobiles, parts & accessories,car lights,decorative lamps & strips",1
QC,ar,حقيبة يد خاصة,"luggage & bags,women's handbags,tote bags",1
QC,es,ventilador de batería,"home appliances,household appliances,cooling appliances,fans",1
QC,ja,レトロ,"men's clothing,shorts,casual shorts",1
QC,pt,civic d16,"automobiles, parts & accessories,interior accessories,car interior decor accessories,automotive interior stickers",1
QC,ko,스컬피,"toys & hobbies,action & toy figures,animation derivatives/peripheral products",0
QC,fr,cuir vachette sac,"luggage & bags,men's bags,crossbody bags",1
QC,de,Autoabdeckung Audi A3,"automobiles, parts & accessories,exterior parts,tank covers",1
QC,de,Armband-Set,"jewelry & accessories,customized jewelry,luxury jewelry,bracelets",0
QC,pl,ptasie oczy,"sports & entertainment,fishing,fishing lures",0
QC,ja,日野,"automobiles, parts & accessories,other vehicle parts & accessories,truck parts,truck accessories",1
QC,en,plated earrings,"jewelry & accessories,customized jewelry,customized earrings",1
QC,ja,リースワイヤー ビーズ用,"jewelry & accessories,jewelry making,jewelry findings & components（new）,jewelry findings & components(old, obsolete)",1
QC,it,scarpe da donna di lusso firmate con tacco 2024,"shoes,women's shoes,women's sandals（do not post in this category）",1
QC,pl,gadżet genshin impact,"jewelry & accessories,fashion jewelry,key chains",1
QC,fr,décoration anniversaire barbie,"home & garden,home decor,home decoration stickers & posters,poster stickers",1
QC,es,lip para bmw e46,"automobiles, parts & accessories,exterior parts,bumpers",0
QC,de,Schmuck Ohrringe,"jewelry & accessories,fine jewelry,earrings,clip earrings",1
QC,fr,deco mariage champêtre,"home & garden,festive & party supplies,event & party,party & holiday diy decorations",1
QC,fr,pc gamer accessories,"computer & office,computer peripherals,docking stations & usb hubs",1
QC,en,safes for children,"security & protection,safes,fingerprint safes",0
QC,en,kitchen item free shiping,"home & garden,kitchen,dining & bar,kitchen tools & gadgets,fruit & vegetable cleaning basin",1
QC,es,zapat niñ 2 años,"mother & kids,baby shoes,sandals & clogs",1
QC,pt,caixa pao de forma,"home & garden,home storage & organization,kitchen storage & organization,bottles,jars & boxes",1
QC,pl,męskie buty Tommy Hilfiger,"shoes,men's shoes,men's vulcanize shoes",1
QC,ar,فائق السطوع,"lights & lighting,indoor lighting,downlights",1
QC,es,anill de oro muj 18k,"jewelry & accessories,customized jewelry,customized rings",1
QC,es,tenis salomon,"shoes,men's shoes,casual sneakers",1
QC,it,scarpe G J,"shoes,men's shoes,men's boots（do not post in this category）",1
QC,ko,일본 포터가방,"luggage & bags,women's handbags,shoulder bags",1
QC,fr,kawaii objet cute,"toys & hobbies,stuffed animals & plush,plush pillows",1
QC,ko,찰리브라운,"home & garden,home textile,cushion cover",1
QC,ja,ダッカール,"automobiles, parts & accessories,interior parts,interior replacement parts,door lock protective cover",0
QC,ko,k7자동차매트,"automobiles, parts & accessories,interior accessories,car mat accessories,universal car floor mats",1
QC,ar,كاميرا مقاومة للماء,"security & protection,video surveillance,surveillance camera,underwater camera",1
QC,fr,demaquillant visage maquillage,"beauty & health,makeup,makeup remover",1
QC,ko,말본 골프화,"men's clothing,tops & tees,t-shirts",0
QC,it,borsa da donna aceperch,"luggage & bags,women's handbags,chest bags",1
QC,ar,لعبة مشهورة عالمياً,"toys & hobbies,stuffed animals & plush,movies & tv",1
QC,es,huevos de peces,"home & garden,pet products,fish & aquatic pet supplies,fish food",1
QC,fr,decoration de noel,"home & garden,home decor,plaques，signs &boxes,plaques & signs",1
QC,ja,ケロイド,"beauty & health,nail art & tools,nail tools,manicure tools",0
QC,ko,타이어,"motorcycle equipments & parts,motorcycle parts,wheels, tires & tubes,motorcycle tires & wheels",1
QC,pt,roupa de ginástica feminino,"sports shoes,clothing&accessories,sportswear & accessories,golf,golf pants",0
QC,pl,kratownica,"women's clothing,skirts",0
QC,fr,purgeur de liquide de frein,"automobiles, parts & accessories,car repair tool,filling equipment,brake liquid filling equipment",0
QC,es,tabaco de liar accesorios,"home & garden,household merchandises,lighters & smoking accessories,cigarette accessories",1
QC,en,yeston,"women's clothing,skirts",0
QC,es,complementos coche volkswagen,"automobiles, parts & accessories,exterior accessories,car body film",1
QC,fr,robe de soiree luxe haut de gamme,"weddings & events,special occasion dresses,celebrity dresses",1
QC,it,borsa del postino,"luggage & bags,men's bags,shoulder bags",1
QC,pl,sneakersy damskie,"sports shoes,clothing&accessories,sneakers,running shoes",1
QC,fr,basket homme tendances 2024,"sports shoes,clothing&accessories,sneakers,hiking shoes",1
QC,ko,한복 악세사리,"jewelry & accessories,jewelry making,jewelry findings & components（new）,jewelry findings & components(old, obsolete)",0
QC,ko,캠핑램프,"lights & lighting,portable lighting,portable lanterns",1
QC,fr,cadeau noel original homme,"toys & hobbies,novelty & gag toys,gags & practical jokes",0
QC,fr,nike rug,"home & garden,home textile,mat",1
QC,fr,déguisement fleur,"novelty & special use,cosplay accessories,cosplay costumes（deactivate）",1
QC,ja,2段ベッド,"furniture,home furniture,bedroom furniture,beds",1
QC,ko,테이블 연잔,"home & garden,kitchen,dining & bar,disposable kitchenware,disposable cups",0
QC,it,orologio decorativo da tavolo,"home & garden,home decor,clocks,specialty clocks",1
QC,de,Sharm Pandora,"jewelry & accessories,fine jewelry,earrings,drop earrings",0
QC,en,tvt,"home appliances,major appliances,tv & accessories,smart tv",0
QC,ar,كامبانيولو,"sports & entertainment,camping & hiking,outdoor tools",0
QC,ja,ピアス パーツ,"jewelry & accessories,fashion jewelry,earrings,dangle earrings",0
QC,de,Tacoma 2012,"automobiles, parts & accessories,car lights,signal lamp assembly,warning lights assembly",1
QC,pl,damskie krótkie spodenki letnie,"sports shoes,clothing&accessories,sportswear & accessories,yoga clothing,yoga shorts",1
QC,es,colcha bouti cama 150,"home & garden,home textile,blanket",1
QC,pl,szybka ładowarka samochodowa usb,"automobiles, parts & accessories,interior parts,interior replacement parts,cigarette lighter",1
QC,de,Outdoor-Ausrüstung,"industrial & business,handling, warehousing & transportation equipment,carts, trolleys & trucks,outdoor carts",1
QC,fr,body manches longues femmes,"mother & kids,baby clothing,bodysuits & one-pieces,bodysuits",0
QC,ar,حقيبة كلاتش للزفاف,"luggage & bags,women's handbags,top-handle bags",1
QC,ja,gr　カーボン,"automobiles, parts & accessories,interior accessories,interior mouldings",1
QC,it,pantaloni a rete da donna,"sports & entertainment,camping & hiking,camping & hiking apparel & accessories,hiking pants",1
QC,it,Poppy Playtime,"computer & office,computer peripherals,mice & keyboards,mouse pads",1
QC,de,Pelagos Uhr,"watches,men's watches,quartz wristwatches",0
QC,es,especierios cocina,"home & garden,home decor,home decoration stickers & posters,spice stickers",0
QC,pl,zabawki erotyczne,"beauty & health,sex products,sm products,adult games",1
QC,en,bag high copy,"luggage & bags,men's bags,crossbody bags",1
QC,es,clips para el pelo,"mother & kids,kids accessories,hair pin",0
QC,ko,y700 레노버 legion 2023,"computer & office,tablet accessories & parts,tablet pen",0
QC,pt,argola de chaveiro,"home & garden,festive & party supplies,event & party,glow party supplies",0
QC,ja,生地　きつね,"apparel accessories,apparel fabrics & textiles,tulle fabrics",1
QC,ko,3구 스위치,"computer & office,networking,commercial networking equipments,network switches",0
QC,pt,alexia,"home improvement,family intelligence system,smart temperature control system",1
QC,en,bamboo sponge fabric by meter for wipe,"home & garden,arts,crafts & sewing,fabrics,home textile printing fabric",0
QC,it,lenzuolo,"home & garden,home textile,bedspreads & coverlets",0
QC,ko,클락션,"automobiles, parts & accessories,exterior parts,mirror & covers",0
QC,es,organizador dinero,"luggage & bags,wallets & holders,money clips",1
QC,ja,マドン ステッカー,"beauty & health,nail art & tools,nail art,stickers & decals",1
QC,fr,boucle oreille orange,"jewelry & accessories,customized jewelry,customized earrings",1
QC,it,Victoria's Secret,"jewelry & accessories,fashion jewelry,necklace",1
QC,es,lubricante,"beauty & health,sex products,safer sex,condoms",0
QC,it,dainese,"sports & entertainment,cycling,cycling equipment,cycling pants",1
QC,pt,dosificador agua garrafa,"home appliances,household appliances,water treatment appliances,water dispensers",1
QC,de,Pappkartons,"consumer electronics,games & accessories,game deals",0
QC,en,gcan adapter mazda 6 gh,"automobiles, parts & accessories,car electronics,car electronics accessories,cables, adapters & sockets",1
QC,ar,بو,"underwear,women's sleep & lounge,nightgowns & sleepshirts",1
QC,es,moldes pesebres,"home & garden,arts,crafts & sewing,candle making,candle molds",1
QC,pl,Zmierzch,"office & school supplies,stationery sticker",1
QC,fr,h12 mini,"consumer electronics,home audio & video,tv stick",0
QC,ja,ギフトラッピング,"office & school supplies,stationery sticker",0
QC,pt,tyler the creator t shirt,"mother & kids,children's clothing,t-shirts",0
QC,pl,dekoracje do pokoju dla chłopca,"home & garden,festive & party supplies,event & party,party & holiday diy decorations",1
QC,ja,スヌーピー 家具,"furniture,outdoor furniture,sun loungers",1
QC,ar,W09 برو,"consumer electronics,portable audio & video,earphones & headphones",0
QC,de,X2 Pro,"consumer electronics,games & accessories,game deals",0
QC,fr,maillot de bain femme 1 piece,"women's clothing,jumpsuits&rompers,jumpsuits",0
QC,ko,수육용돼지고기,"home & garden,pet products,dog supplies,dog dry food",0
QC,en,slim wallet,"luggage & bags,wallets & holders,key wallets",1
QC,en,controles,"security & protection,access control,access control keypad",1
QC,pl,mini kłódki,"security & protection,security alarm,anti-theft lock",0
QC,pl,szorty Alo,"sports shoes,clothing&accessories,sportswear & accessories,running,running shorts",1
QC,ko,벽걸이 선풍기 브라켓,"home improvement,hardware,brackets",1
QC,pl,somo store duże rozmiary,"women's clothing,matching sets,short sets",0
QC,es,pendientes redondos hombre,"jewelry & accessories,customized jewelry,customized earrings",1
QC,ja,カメラ 三脚,"consumer electronics,camera & photo,tripod & accessories,tripods",1
QC,ja,ポムポムプリン,"luggage & bags,travel bags,travel tote",1
QC,fr,rg gundam,"home & garden,home textile,blanket",0
QC,ko,단팥,"food,meat,beef",0
QC,es,short entrenamiento hombre,"sports shoes,clothing&accessories,sportswear & accessories,boxing,boxing trunks",1
QC,pl,Zimmerman,"men's clothing,hoodies & sweatshirts",0
QC,it,quando la corda dell'aquilone si rompe,"men's clothing,tops & tees,polo shirts",1
QC,fr,sac ecole fille,"luggage & bags,special purpose bags,lunch bags",0
QC,de,Windbreaker,"women's clothing,coats & jackets,trench",1
QC,ja,モデルy テスラ,"automobiles, parts & accessories,interior accessories,car mat accessories,custom floor mats",1
QC,pt,lampada de led para carro,"automobiles, parts & accessories,car lights,signal lamp",1
QC,ja,まっと,"home & garden,garden supplies,indoor gardening & hydroponics,heating quilts & mats",1
QC,ko,아이폰 13 케이스,"phones & telecommunications accessories,mobile phone accessories,battery charger cases",1
QC,en,lark m2,"computer & office,storage device,memory cards",0
QC,pl,garmin 255,"watches,watches accessories,watch screen protectors",0
QC,es,silenciador de escape moto bmw gs 1200,"motorcycle equipments & parts,motorcycle parts,exhausts & exhaust systems,silencers, mufflers & baffles",1
QC,fr,tommee tippee,"automobiles, parts & accessories,interior accessories,car interior decor accessories,key case for car",0
QC,pl,zeesea,"home & garden,home textile,towel/bathrobe,towel/towel set",0
QC,de,Suzuki LED,"automobiles, parts & accessories,car lights,signal lamp assembly,additional brake lights assembly",1
QC,pt,rops de cama,"home & garden,home textile,comforters",1
QC,es,funda samsung galaxy a13,"phones & telecommunications accessories,mobile phone accessories,mobile phone cases & covers",1
QC,it,specxel,"sports & entertainment,cycling,cycling equipment,cycling vests",1
QC,fr,pots de jardin et jardinières,"home & garden,garden supplies,gardening pots, planters & accessories,nursery pots",1
QC,pt,montagem do farol do carro,"automobiles, parts & accessories,car lights,signal lamp assembly,side mirror turn signal blinker",0
QC,ar,جونس بو,"computer & office,computer components,cpus",1
QC,pl,męskie krótkie spodenki sportowe,"sports shoes,clothing&accessories,sportswear & accessories,soccer,soccer training pants",0
QC,fr,appareil photo samsung,"consumer electronics,camera & photo,sports & action video cameras",1
QC,es,soporte para plantas exterior de metal,"home & garden,garden supplies,plant support & care,plant cages & supports",1
QC,pt,Brinquedos,"toys & hobbies,remote control toys,rc helicopters",1
QC,it,fotocamera dslr,"consumer electronics,camera & photo,360° video camera",0
QC,en,men's cap,"apparel accessories,hats & caps,bomber hats",1
QC,es,cargador de apple watch,"consumer electronics,accessories & parts,chargers",1
QC,fr,maillot de foot rose,"sports shoes,clothing&accessories,sportswear & accessories,soccer,soccer jerseys",1
QC,pt,jorts masculino,"sports shoes,clothing&accessories,sportswear & accessories,skateboarding,skateboarding shorts",1
QC,de,Coraline Aufkleber,"toys & hobbies,classic toys,sticker",1
QC,ja,椅子 オシャレ,"furniture,home furniture,living room furniture,living room chairs",1
QC,de,Auto 100W,"automobiles, parts & accessories,car lights,car headlight bulbs(led)",1
QC,pl,rowery elektryczne dla dorosłych,"sports & entertainment,cycling,electric bicycle",1
QC,en,candle making,"home & garden,arts,crafts & sewing,candle making,wax",1
QC,ja,アクセサリー ディスプレイ,"virtual products,giftcard,virtual card to us",0
QC,ko,가을패션,"underwear,women's socks & hosiery,leg warmers",1
QC,es,extensiones de pestañas,"beauty & health,makeup,false eyelashes & tools,false eyelashes",1
QC,ko,단백질보충제,"home & garden,pet products,cat supplies,cat treats & vitamins",0
QC,ar,ليغو هجوم العمالقة,"toys & hobbies,building & construction toys,clicking blocks",1
QC,ja,キャデラックキー,"automobiles, parts & accessories,car lock system,car key,mechanical key",1
QC,es,pantalla ds lite,"consumer electronics,games & accessories,screens",1
QC,it,anello Cartier,"jewelry & accessories,fashion jewelry,rings",1
QC,pt,xo papio,"motorcycle equipments & parts,motorcycle parts,body & frame,windscreens & wind deflectors",1
QC,ja,ネイルパーツ　ランダム,"beauty & health,nail art & tools,nail art,rhinestones & decorations",1
QC,fr,marteau a viande cuisine,"home & garden,kitchen,dining & bar,kitchen tools & gadgets,meat & poultry tools",1
QC,ja,大谷しょうへい,"apparel accessories,hats & caps,baseball caps",1
QC,fr,chargeur allume cigare samsung original,"home & garden,household merchandises,lighters & smoking accessories,lighters",0
QC,ko,여름작업바지,"sports & entertainment,camping & hiking,camping & hiking apparel & accessories,hiking pants",1
QC,ar,أودي RS3 8V,"automobiles, parts & accessories,car electronics,car electronics accessories,power side view mirrors",1
QC,de,Femboy NSFW,"jewelry & accessories,fashion jewelry,necklace",0
QC,en,top zara jeans,"women's clothing,shirts & blouses,women blouse",0
QC,it,gioielli in acciaio inossidabile,"jewelry & accessories,fashion jewelry,beads",0
QC,ko,원백,"luggage & bags,women's handbags,shoulder bags",0
QC,fr,godzilla jouet,"toys & hobbies,stuffed animals & plush,puppets",1
QC,de,Drahtgeflecht,"home improvement,electrical equipment & supplies,wiring accessories,cable ties",0
QC,ja,アルミ 縦置き スタンド,"furniture,home furniture,living room furniture,tv stands",1
QC,ar,مصابيح أمامية فيات 500,"automobiles, parts & accessories,car lights,car headlight bulbs(led)",0
QC,pl,ubrania na święta,"women's clothing,dresses",1
QC,ar,شاحن مروحة مغناطيسي,"consumer electronics,games & accessories,fans",1
QC,pl,beamo,"consumer electronics,home audio & video,projects & accessories,projectors",1
QC,ja,可動フィギュア,"toys & hobbies,action & toy figures,fantasy figurines",1
QC,pl,Locky,"mother & kids,baby clothing,swimwear",0
QC,pl,kapcie huggy wiggy,"shoes,men's shoes,men's slippers（do not post in this category）",1
QC,ja,サイクルジャージ 上下セット,"sports & entertainment,cycling,cycling equipment,cycling sets",1
QC,en,wafer,"food,grocery,confectionery,cookies, gingerbread, waffles",1
QC,pl,kręcone peruki z naturalnych włosów 13x6 HD lace frontal,"hair extensions & wigs,human wigs( for black),full machine wigs",1
QC,ko,펑리수,"women's clothing,tops & tees,t-shirts",0
QC,it,o light,"lights & lighting,lighting bulbs & tubes,led bulbs & tubes",0
QC,es,protector nintendo switch diseño,"consumer electronics,games & accessories,screen protectors",1
QC,ko,mks 페달,"sports & entertainment,cycling,bicycle parts,bicycle pedal",1
QC,fr,bloc construction stars wars,"toys & hobbies,building & construction toys,interconnecting blocks",1
QC,ja,a6 バインダー,"office & school supplies,filing products,file folder accessories,binder index dividers",0
QC,it,custodia samsung galaxy a55 5g,"home appliances,major appliances,tv & accessories,smart tv",0
QC,es,juguet sexual es parej,"beauty & health,sex products,sex toys,sex dolls",1
QC,es,guarda cables organizador,"home & garden,home storage & organization,storage bags",1
QC,ar,محرك خدمة,"automobiles, parts & accessories,car electronics,car intelligent system,car multimedia player",0
QC,pl,e-papieros,"tools,hand tools,screwdriver",0
QC,es,faros ibiza 2005,"automobiles, parts & accessories,car lights,car headlight bulbs(led)",0
QC,fr,e46 320d,"automobiles, parts & accessories,car lights,signal lamp assembly,corner light",1
QC,it,samsung note 9,"watches,watches accessories,watchbands",0
QC,fr,sandal pour femme,"shoes,women's shoes,women's slippers（do not post in this category）",1
QC,ja,靴　子供,"mother & kids,children's shoes,mules & clogs",1
QC,it,pigiami Disney da donna,"underwear,women's sleep & lounge,pajama sets",0
QC,ja,ペンケース 大きめ,"office & school supplies,school supplies,pencil cases & bags,pencil bags",1
QC,en,lego friends,"toys & hobbies,building & construction toys,interconnecting blocks",1
QC,es,cartera magica de hombre,"luggage & bags,wallets & holders,wallets",1
QC,fr,selle 3d,"motorcycle equipments & parts,motorcycle parts,seats & seat parts,seats & benches",0
QC,ko,남성9부바지,"motorcycle equipments & parts,motorcycle equipments,motorcycle street gear,pants",1
QC,de,Z900 Sturzpad,"motorcycle equipments & parts,modification&protection,falling protection",1
QC,ar,ساعة حائط,"home & garden,home decor,clocks,specialty clocks",1
QC,de,Damen Sommer Shorts,"sports shoes,clothing&accessories,sportswear & accessories,golf,golf shorts",1
QC,it,faro geely coolray,"automobiles, parts & accessories,car lights,signal lamp assembly,rear bumper lights assembly",1
QC,ja,赤ちゃん撮影プロップス,"mother & kids,baby souvenirs,newborn photography,photography accessories",1
QC,en,stroj kapielowy,"women's clothing,swimwears,bikinis set",1
QC,fr,nmea 2000,"automobiles, parts & accessories,car electronics,gps & accessories,gps accessories",0
QC,fr,basket femme été,"sports shoes,clothing&accessories,sneakers,hiking shoes",1
QC,ja,トライアンフ スピード400,"motorcycle equipments & parts,motorcycle parts,air intake & fuel delivery,motorcycle fuel pump",1
QC,en,lego dragonball z,"toys & hobbies,building & construction toys,blocks",1
QC,ar,سماعة أذن بلوتوث,"consumer electronics,portable audio & video,earphone accessories,protective sleeve",0
QC,de,traft,"women's clothing,coats & jackets,jackets",1
QC,es,pendientes flamenca 2024,"jewelry & accessories,customized jewelry,luxury jewelry,earrings",1
QC,ko,화이트 넥타이,"novelty & special use,cosplay accessories,accessories,ties",0
QC,ko,오토바이장갑,"motorcycle equipments & parts,motorcycle equipments,snowmobile gear,snowmobile gloves",1
QC,it,luci decorative autunnali,"lights & lighting,outdoor lighting,solar lamps",1
QC,pl,zabawki erotyczne,"beauty & health,sex products,sm products,adult games",1
QC,es,manta termica para piscina,"sports & entertainment,camping & hiking,camping mat",0
QC,fr,golf 7 gtzi. signe coffre,"automobiles, parts & accessories,car lights,signal lamp assembly,tail light assembly",0
QC,ko,한국투피스세트,"sports shoes,clothing&accessories,sportswear & accessories,running,running sets",1
QC,pt,relógio de parede decorativo grande,"home & garden,home decor,clocks,wall clocks",1
QC,de,Fedula,"beauty & health,health care,personal health care,braces & supports",1
QC,de,Samsung Buds 2,"computer & office,laptops",0
QC,it,borsa da donna,"luggage & bags,women's handbags,chest bags",1
QC,pt,ropa para cachorros pug,"home & garden,pet products,dog supplies,dog vests",1
QC,ko,실리콘테이프,"sports & entertainment,cycling,bicycle accessories,bicycle handlebar tape",1
QC,en,pakistani jewelry,"jewelry & accessories,fashion jewelry,anklets",1
QC,pl,Jellycat Boże Narodzenie,"toys & hobbies,stuffed animals & plush,stuffed & plush animals",1
QC,fr,autocollant film,"computer & office,laptop parts & accessories,laptop skins",1
QC,ar,فساتين سهرة نسائية,"weddings & events,wedding party dress,bridesmaid dresses",1
QC,ar,حقيبة لوي فيتون رجالية,"luggage & bags,men's bags,clutches",1
QC,pl,xiaomi ax3000t,"consumer electronics,camera & photo,camera drones & accessories,camera drones",0
QC,it,Ducati 937,"motorcycle equipments & parts,ornamental & cleaning,motorcycle ornamental,tank pads",1
QC,es,relojes casio originales,"watches,men's watches,digital wristwatches",1
QC,de,Goldene Regale,"home improvement,bathroom fixture,bathroom hardware,bath hardware sets",1
QC,pt,bolsa da jw pei,"luggage & bags,special purpose bags,cosmetic bags & cases",1
QC,it,abiti eleganti da donna,"women's clothing,plus size clothes,plus size dresses",1
QC,pt,luminaria zetlight marinho,"lights & lighting,indoor lighting,pendant lights",0
QC,pl,naszyjnik zodiakalny,"jewelry & accessories,fashion jewelry,pendants",1
QC,ja,モアサナイトピアス,"jewelry & accessories,fashion jewelry,earrings,stud earrings",1
QC,en,vesell,"industrial & business,blowers, industrial fans & exhaust equipment,blower",0
QC,pt,perfume hugo boss masculino,"beauty & health,makeup,perfume",1
QC,en,rollercoaster,"home & garden,home textile,table linen,table runner",0
QC,fr,verre double parois transparent,"lights & lighting,lighting accessories,chandelier crystal",0
QC,pl,lian li,"computer & office,computer components,computer cases & towers",1
QC,ar,كيا سول,"automobiles, parts & accessories,wear parts,windscreen wipers & parts,car windshield washer pumps",1
QC,en,ssd nvme 512gb,"computer & office,storage device,portable storage devices & accessories,portable solid state drives",1
QC,ar,طقم أبيض بالكامل للنساء,"women's clothing,blazer & suits,skirt suits",1
QC,en,luz led usb,"lights & lighting,portable lighting,portable spotlights",1
QC,ar,واقي صور,"luggage & bags,women's handbags,tote bags",0
